id,name,degree,peel,diversity,betweenness,pagerank
274,Hagen,0.04132231404958678,0.16666666666666666,0.3517573458700305,0.006765321522080879,0.022073992160394903
275,Haggo,0.04132231404958678,0.3333333333333333,0.5391170717417778,1.6239882215049147e-05,0.015865742640529912
276,Haggon,0.0,0.0,0.0,0.0,0.006270173330015322
277,Hairy Hal,0.01652892561983471,0.16666666666666666,0.25807748313688406,0.0,0.006671959362647562
278,Hake,0.0,0.0,0.0,0.0,0.000500858491748504
279,Halder,0.05785123966942149,0.3333333333333333,0.5620791768043331,0.00022954448900117542,0.02019919736933449
280,Haldon,0.08264462809917356,0.4166666666666667,0.6656485962955301,0.0014852100998325938,0.04499814721817923
281,Hali,0.0,0.0,0.0,0.0,5.5892087177112154e-05
282,Hallis Mollen,0.04132231404958678,0.3333333333333333,0.5391170717417778,0.0006143255956887693,0.014721350041656938
283,Hallyne,0.008264462809917356,0.08333333333333333,0.0,0.0,0.0013391552425410765
284,Halys Hornwood,0.0,0.0,0.0,0.0,0.00022582319841806518
285,Hareth (Moles Town),0.08264462809917356,0.3333333333333333,0.6656485962955301,0.011469088893679886,0.029647412251325663
286,Harl,0.0,0.0,0.0,0.0,0.002641302764223078
287,Harma,0.05785123966942149,0.4166666666666667,0.5620791768043331,0.00020351903673346847,0.014210231983729681
288,Harra,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.004308566825134686
289,Harras Harlaw,0.0,0.0,0.0,0.0,0.0014976429915057273
290,Harren Hoare,0.01652892561983471,0.16666666666666666,0.4454372090086314,0.0003992304377866248,0.00550287615945429
291,Harrold Hardyng,0.01652892561983471,0.16666666666666666,0.25807748313688406,4.398301433242477e-05,0.00613102091731063
292,Harry Strickland,0.01652892561983471,0.08333333333333333,0.25807748313688406,2.7795183021911036e-05,0.011996054125750655
293,Harwin,0.08264462809917356,0.5,0.7292714878941773,0.0018640209677699758,0.023276926294853784
294,Harwood Stout,0.0,0.0,0.0,0.0,0.0013881700381038595
295,Harys Swyft,0.06611570247933884,0.5833333333333334,0.492582380653874,0.00043150199859858147,0.01157693393597574
296,Hayhead,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.002560240917162374
297,Helman Tallhart,0.024793388429752067,0.16666666666666666,0.5620791768043331,0.0007080848900284106,0.006330969715310848
298,Hero,0.024793388429752067,0.25,0.4215593827046134,0.0,0.007598815335785312
